User_Id,Race,Flavors,Positive,Negative,Medical
502,"sativa, indica","Honey, Plum, Cheese, Minty, Diesel, Blue, Strawberry, Chemical, Spicy/Herbal, Pepper, Grapefruit, Lime, Tree Fruit, Nutty, Lavender, Apple, Menthol, Tar, Rose, Flowery, Citrus, Mint","Talkative, Uplifted, Happy, Hungry, Relaxed, Creative, Euphoric, Focused, Giggly, Energetic",Dizzy,"Headaches, Lack of Appetite, Stress, Spasticity, Muscle Spasms, Insomnia, Pain, Cramps, Inflammation"
503,,"Spicy/Herbal, Vanilla, Blueberry, Diesel, Coffee, Chemical, Citrus, Orange, Rose, Nutty, Ammonia, Apple, Skunk, Minty, Sweet, Apricot, Grapefruit, Chestnut, Tar, Grape, Tobacco, Tropical, Pine, Peach, Pepper, Cheese, Pear, Tree Fruit, Fruit, Pungent","Energetic, Uplifted, Sleepy, Talkative, Tingly, Aroused, Hungry, Relaxed","Anxious, Paranoid, Dizzy, Dry Eyes",
504,,"Lavender, Lime, Citrus, Nutty","Happy, Talkative, Relaxed, Creative, Hungry, Uplifted, Euphoric",,
505,"hybrid, sativa","Spicy/Herbal, Orange, Ammonia, Earthy, Pungent, Plum, Pine, Coffee, Fruit, Diesel","Tingly, Energetic",Dry Mouth,"Fatigue, Seizures, Insomnia, Lack of Appetite, Eye Pressure, Inflammation, Nausea, Muscle Spasms"
506,,"Menthol, Strawberry, Chestnut, Tree, Orange, Mint, Fruit, Tobacco, Blueberry, Blue Cheese, Earthy, Lemon, Coffee, Spicy/Herbal, Rose, Apricot, Peach, Apple, Ammonia","Energetic, Giggly, Creative, Happy, Aroused, Focused, Hungry, Sleepy, Relaxed","Paranoid, Anxious, Dizzy","Muscle Spasms, Nausea, Inflammation, Spasticity"
507,"indica, sativa","Vanilla, Citrus, Flowery, Blue, Tobacco, Pungent, Lavender, Tree, Violet, Pineapple, Minty, Butter, Chestnut, Lemon, Coffee, Berry","Uplifted, Euphoric, Focused, Giggly, Happy, Relaxed","Paranoid, Dizzy","Lack of Appetite, Nausea, Pain, Spasticity, Insomnia, Inflammation, Stress, Seizures, Eye Pressure, Depression"
508,sativa,"Lime, Sage, Coffee, Chestnut, Chemical, Mint, Tree Fruit, Apricot, Blueberry, Pear, Tea, Pepper, Spicy/Herbal, Flowery, Diesel, Tropical, Pine, Pungent, Mango, Plum, Pineapple, Grape, Lavender, Apple, Lemon, Nutty, Sweet","Uplifted, Happy, Tingly, Energetic, Aroused, Focused, Euphoric, Talkative","Dry Mouth, Anxious, Dizzy","Fatigue, Spasticity, Headaches, Muscle Spasms, Stress, Inflammation, Cramps"
509,sativa,"Butter, Cheese, Flowery, Mint, Spicy/Herbal, Chemical, Menthol, Violet, Rose, Blue, Strawberry, Plum, Grapefruit","Creative, Energetic, Relaxed, Sleepy, Aroused, Tingly, Euphoric, Uplifted, Hungry",Dry Eyes,"Muscle Spasms, Eye Pressure, Cramps, Depression, Seizures"
510,indica,"Diesel, Minty",Tingly,Dry Eyes,"Headache, Muscle Spasms, Inflammation, Eye Pressure, Seizures, Cramps, Pain"
511,"hybrid, sativa","Nutty, Tropical, Lime, Tobacco, Grapefruit, Menthol, Cheese, Blue, Sweet, Grape, Strawberry","Focused, Giggly, Euphoric, Aroused, Talkative, Creative, Happy, Relaxed","Dry Eyes, Dizzy, Dry Mouth, Anxious","Seizures, Depression, Insomnia, Fatigue"
512,hybrid,"Tobacco, Cheese, Menthol, Blue, Chemical, Sweet, Pineapple, Citrus, Lime, Apple, Lavender, Grape, Tropical, Earthy, Tree, Strawberry, Flowery, Sage, Tree Fruit, Honey, Minty, Tar, Lemon, Pine, Fruit, Ammonia","Aroused, Uplifted, Hungry, Focused, Talkative, Energetic, Relaxed","Dizzy, Anxious, Dry Mouth","Eye Pressure, Muscle Spasms, Stress, Cramps, Headaches, Spasticity, Headache"
513,,"Chemical, Mint, Diesel, Skunk, Rose, Pine, Minty, Fruit, Orange, Ammonia, Blue, Woody, Citrus, Lemon, Tobacco, Plum, Nutty, Sage, Tea, Violet, Butter, Tropical, Strawberry, Mango, Blueberry","Hungry, Aroused, Happy, Creative, Energetic, Tingly, Focused, Relaxed, Euphoric",Dry Eyes,"Seizures, Eye Pressure, Nausea, Lack of Appetite, Headache, Insomnia, Fatigue"
514,"hybrid, indica, sativa","Butter, Coffee","Focused, Giggly, Sleepy","Paranoid, Anxious","Eye Pressure, Lack of Appetite, Nausea, Seizures, Spasticity, Stress, Insomnia"
515,hybrid,"Pine, Violet, Apricot, Chestnut, Woody, Fruit, Pineapple, Tree, Tropical, Grapefruit, Lime, Diesel, Flowery, Honey, Pepper, Sage, Butter, Skunk, Berry, Minty, Lavender, Pear, Plum, Chemical, Lemon, Pungent, Apple, Tree Fruit, Mint, Blueberry, Citrus","Euphoric, Happy, Focused, Energetic, Talkative, Hungry, Aroused","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Lack of Appetite, Spasticity, Eye Pressure, Insomnia, Nausea, Seizures, Muscle Spasms, Inflammation, Pain"
516,"hybrid, sativa","Flowery, Apple, Butter, Blue, Pungent, Strawberry, Plum, Orange, Sweet, Minty, Tea, Diesel, Tree Fruit, Pineapple, Lime, Blueberry, Citrus, Ammonia, Honey, Apricot","Happy, Talkative, Aroused, Focused, Giggly, Uplifted, Sleepy, Hungry",Dry Mouth,"Eye Pressure, Nausea, Lack of Appetite"
517,"hybrid, indica","Blue Cheese, Ammonia, Pear, Pineapple, Tobacco, Menthol, Lavender, Tea","Focused, Aroused, Sleepy, Creative, Relaxed, Talkative, Hungry","Anxious, Paranoid, Dizzy","Spasticity, Seizures, Headaches, Pain"
518,hybrid,"Lavender, Grape, Tree, Rose, Ammonia, Grapefruit, Violet, Vanilla, Citrus, Lemon, Chemical, Sage, Tree Fruit, Butter, Tropical, Plum, Blue, Woody, Nutty, Pepper, Tobacco, Fruit, Apple, Honey, Earthy, Mango, Mint, Lime, Sweet, Pine, Orange, Chestnut","Talkative, Relaxed, Hungry, Focused, Uplifted, Energetic, Sleepy, Aroused","Anxious, Dry Mouth, Dry Eyes",
519,hybrid,"Strawberry, Blue Cheese, Nutty, Rose, Minty, Tropical, Tree Fruit, Orange, Lavender, Berry, Citrus, Tobacco, Lime, Chestnut, Mint, Diesel, Pine, Blueberry, Sweet, Earthy, Woody, Blue, Ammonia, Skunk, Apple, Chemical, Butter, Menthol, Plum, Coffee","Talkative, Energetic, Tingly, Relaxed, Giggly, Hungry, Happy",,"Headache, Seizures"
520,"indica, hybrid","Grapefruit, Citrus, Tree Fruit, Tea, Mint, Lime, Ammonia, Spicy/Herbal, Pepper, Honey, Pear, Berry, Grape, Plum, Pineapple, Mango, Lavender, Cheese, Rose","Sleepy, Tingly, Focused","Dizzy, Dry Eyes, Paranoid",Fatigue
521,hybrid,"Grape, Tree Fruit, Pear, Honey, Menthol, Plum, Tar, Sage, Pepper, Orange, Blue, Apricot, Citrus, Fruit, Pineapple, Tea, Sweet, Coffee, Lime, Ammonia, Earthy, Rose, Skunk, Blue Cheese, Mint","Relaxed, Sleepy, Euphoric, Hungry, Energetic, Giggly, Focused",,"Fatigue, Inflammation, Headache, Eye Pressure, Depression"
522,sativa,"Spicy/Herbal, Tea, Earthy, Sweet, Pear, Menthol, Flowery, Chemical, Mint, Sage, Diesel, Grapefruit, Blueberry, Coffee, Vanilla, Peach, Grape, Lime, Lemon, Ammonia, Tree Fruit, Strawberry, Blue","Creative, Euphoric, Hungry, Tingly, Uplifted, Aroused",,"Fatigue, Lack of Appetite, Inflammation, Spasticity, Stress, Pain, Nausea, Depression, Headache, Muscle Spasms"
523,"indica, hybrid, sativa",Coffee,"Aroused, Happy, Euphoric, Hungry, Relaxed, Focused","Dry Mouth, Dizzy","Headache, Depression, Eye Pressure, Insomnia, Seizures, Lack of Appetite"
524,,"Mango, Orange, Blue, Sage, Spicy/Herbal, Peach, Grape, Flowery, Tree Fruit, Apple, Chemical, Strawberry, Woody, Apricot, Lime, Menthol, Ammonia, Nutty, Pepper, Vanilla","Creative, Focused, Tingly, Hungry, Euphoric, Uplifted, Giggly, Talkative",,"Pain, Eye Pressure, Inflammation, Muscle Spasms, Headache, Spasticity, Depression, Seizures, Stress"
525,"hybrid, sativa","Pine, Grape, Coffee, Ammonia, Cheese, Minty, Grapefruit, Lavender, Lime, Butter, Diesel, Pineapple, Vanilla, Blueberry, Tobacco, Menthol, Tea, Woody, Mint, Pepper, Tree Fruit, Tree, Tar, Mango, Berry, Violet, Blue, Earthy, Sage, Sweet, Lemon, Spicy/Herbal, Citrus","Energetic, Focused, Hungry, Giggly, Sleepy, Uplifted, Tingly, Happy, Creative","Dry Eyes, Anxious, Dry Mouth","Spasticity, Depression, Cramps"
526,"hybrid, indica","Lemon, Lavender, Chemical, Pine, Plum, Tea, Blue Cheese, Apricot, Berry, Menthol, Skunk, Violet, Rose, Tobacco, Pear, Strawberry, Ammonia, Lime, Spicy/Herbal, Earthy, Flowery, Vanilla, Tree, Grapefruit, Diesel","Uplifted, Hungry, Sleepy","Anxious, Dizzy","Depression, Spasticity, Headaches, Insomnia"
527,"indica, sativa","Flowery, Tea, Cheese, Spicy/Herbal, Lemon, Rose, Blue, Menthol, Citrus, Pear, Strawberry, Mango, Chestnut, Pepper, Apple, Peach, Woody, Blue Cheese, Plum, Pungent, Minty, Sweet, Fruit, Tobacco, Berry, Chemical, Tree, Nutty, Honey, Grape, Apricot, Grapefruit","Sleepy, Talkative, Focused",Dry Eyes,"Insomnia, Headaches, Fatigue, Cramps, Muscle Spasms, Inflammation, Spasticity, Eye Pressure, Pain"
528,"sativa, indica, hybrid","Lemon, Skunk, Woody",Giggly,Paranoid,"Fatigue, Pain, Inflammation, Nausea, Muscle Spasms, Depression, Eye Pressure, Insomnia"
529,hybrid,,"Focused, Aroused, Euphoric, Creative, Energetic, Giggly",Paranoid,"Eye Pressure, Inflammation, Nausea, Spasticity, Muscle Spasms"
530,"hybrid, indica","Tobacco, Ammonia, Strawberry, Citrus, Tea, Woody, Cheese, Chestnut, Sage, Sweet, Butter, Spicy/Herbal, Nutty","Giggly, Uplifted, Sleepy, Relaxed, Happy, Aroused, Euphoric, Focused, Creative",Dizzy,"Headaches, Seizures, Cramps, Spasticity, Nausea, Fatigue, Muscle Spasms, Headache, Inflammation, Pain"
531,,"Grapefruit, Sage, Tree, Blueberry, Skunk, Peach, Butter, Minty, Diesel, Apple, Nutty, Pineapple, Apricot, Citrus","Hungry, Giggly, Happy","Dry Eyes, Dry Mouth","Lack of Appetite, Cramps"
532,"hybrid, sativa","Tar, Flowery, Honey, Chestnut, Grapefruit, Tropical, Pine, Apple, Blueberry, Berry, Lemon","Giggly, Creative, Focused, Sleepy, Uplifted","Dizzy, Dry Mouth, Paranoid","Inflammation, Headaches, Muscle Spasms"
533,,"Mango, Apple, Butter, Skunk, Menthol, Tea, Spicy/Herbal, Tree Fruit, Pineapple, Sage, Minty, Peach, Vanilla, Berry, Pine, Tree, Plum, Diesel, Tobacco","Creative, Hungry","Dizzy, Paranoid, Dry Mouth","Spasticity, Seizures, Lack of Appetite, Cramps, Headaches, Stress"
534,"sativa, hybrid","Apple, Pineapple, Blue Cheese, Lemon, Ammonia","Relaxed, Tingly","Anxious, Dizzy, Dry Mouth","Pain, Depression, Headaches, Stress, Lack of Appetite, Eye Pressure, Headache, Seizures"
535,"indica, hybrid","Earthy, Lavender, Menthol, Blue, Apple, Nutty, Sage, Sweet, Blue Cheese, Mango, Honey, Grapefruit, Chemical, Lime, Flowery, Fruit, Grape, Pungent, Skunk, Woody, Pear","Energetic, Relaxed, Happy, Hungry",Dry Mouth,"Nausea, Eye Pressure, Lack of Appetite, Cramps, Seizures, Fatigue, Headache, Headaches"
536,hybrid,"Strawberry, Tree Fruit, Tea, Tobacco, Cheese, Coffee, Pepper, Lemon, Butter, Honey, Lime, Orange, Ammonia, Flowery, Pineapple, Blue Cheese, Citrus, Chestnut, Woody, Grapefruit, Tar, Blue, Spicy/Herbal, Tropical, Pungent, Sweet, Menthol","Sleepy, Euphoric, Happy, Creative",Anxious,"Depression, Headaches, Headache, Insomnia"
537,"sativa, indica","Tea, Rose, Earthy, Tobacco, Lavender, Pineapple, Chestnut, Minty, Woody, Sweet, Flowery, Tropical, Blue Cheese, Lime, Orange, Vanilla, Pepper, Butter, Chemical, Tree Fruit, Ammonia, Menthol, Citrus, Diesel, Peach, Tar, Blue, Pear","Creative, Uplifted, Sleepy, Relaxed, Tingly",Anxious,"Muscle Spasms, Headaches, Eye Pressure, Nausea, Depression, Headache, Pain, Fatigue, Seizures, Lack of Appetite, Spasticity"
538,hybrid,"Chestnut, Pineapple, Cheese, Tropical, Violet, Nutty, Ammonia, Tar, Minty, Skunk, Lavender, Tree Fruit, Honey, Strawberry, Tobacco, Pungent, Earthy, Fruit, Coffee, Rose, Orange, Blueberry, Blue Cheese, Mango, Vanilla, Sage, Blue, Citrus, Butter, Sweet, Menthol, Chemical, Apricot",,"Dry Mouth, Dry Eyes","Stress, Seizures, Depression, Insomnia, Nausea, Fatigue, Spasticity"
539,,"Lavender, Diesel, Chestnut, Skunk, Menthol, Vanilla, Tropical, Apricot, Spicy/Herbal, Apple, Tar, Pine, Tea, Chemical, Mango, Violet","Tingly, Giggly, Uplifted","Dry Mouth, Dry Eyes","Seizures, Lack of Appetite, Spasticity, Depression, Cramps, Inflammation"
540,hybrid,"Blue, Pine, Coffee, Plum, Spicy/Herbal, Lavender, Berry, Pineapple, Tar, Chestnut, Chemical, Rose, Sage, Mint, Ammonia, Strawberry, Sweet, Apple, Minty, Menthol, Apricot, Tobacco, Pungent, Orange, Skunk, Lime, Lemon","Sleepy, Focused, Giggly","Paranoid, Dry Mouth, Anxious, Dry Eyes","Headache, Headaches, Insomnia, Nausea, Seizures, Muscle Spasms, Spasticity"
541,"sativa, indica","Tar, Skunk, Blue, Woody, Violet, Citrus, Fruit, Sweet, Chemical, Honey, Lime, Apple, Peach, Tea, Apricot, Flowery, Grapefruit, Blue Cheese, Chestnut, Pineapple, Pear, Blueberry, Rose, Tree, Butter, Tobacco, Grape, Menthol, Diesel, Pungent, Cheese, Spicy/Herbal, Mint, Earthy","Giggly, Relaxed","Dry Eyes, Dizzy, Anxious","Headaches, Depression, Pain, Muscle Spasms, Spasticity, Eye Pressure, Fatigue, Stress, Seizures"
542,,"Lime, Tar, Mango, Pungent, Pine, Blue, Butter, Mint, Chestnut, Tree, Minty, Cheese, Plum, Fruit, Sage, Blue Cheese, Skunk, Tobacco, Coffee, Menthol, Ammonia, Apricot, Diesel, Pineapple, Berry, Earthy, Blueberry","Talkative, Hungry, Giggly, Creative","Dry Eyes, Paranoid, Dizzy","Cramps, Headaches, Pain, Headache, Muscle Spasms, Fatigue, Eye Pressure, Lack of Appetite"
543,,"Tobacco, Chemical, Pine, Plum, Fruit, Citrus, Violet, Sage, Apple, Blueberry, Mint, Lime, Tree, Pear, Grapefruit, Diesel, Berry, Nutty, Tree Fruit, Honey, Blue, Coffee","Focused, Aroused, Relaxed","Anxious, Dizzy, Dry Eyes, Dry Mouth","Inflammation, Nausea, Eye Pressure, Stress, Pain"
544,,"Coffee, Lime, Honey, Nutty, Earthy, Tobacco, Peach, Ammonia, Berry, Strawberry, Skunk, Blueberry, Blue Cheese, Lavender, Fruit, Tar, Tree, Grapefruit","Energetic, Hungry, Aroused, Talkative, Sleepy, Focused, Euphoric, Giggly",Dizzy,"Spasticity, Headaches, Nausea, Inflammation, Eye Pressure, Muscle Spasms, Seizures, Cramps, Depression"
545,"hybrid, sativa","Honey, Fruit, Pungent, Diesel, Lime, Peach, Tree, Coffee, Orange, Tropical, Mint, Blueberry, Mango, Woody, Nutty, Menthol, Berry, Grapefruit, Chestnut, Sage, Pine, Skunk, Earthy, Butter, Tea, Minty, Tree Fruit, Vanilla, Lavender","Euphoric, Relaxed, Happy, Hungry, Aroused",,"Muscle Spasms, Pain, Insomnia, Lack of Appetite, Headaches, Cramps, Spasticity, Fatigue, Stress"
546,hybrid,"Grapefruit, Tobacco, Butter, Vanilla, Peach, Pear, Mango, Skunk, Tree, Citrus, Orange, Earthy, Sage, Fruit, Minty, Pepper, Berry, Menthol, Diesel, Rose, Apple, Pineapple","Sleepy, Talkative, Giggly, Relaxed, Tingly, Creative, Uplifted","Dizzy, Dry Eyes","Spasticity, Lack of Appetite, Muscle Spasms, Inflammation, Eye Pressure, Nausea, Stress, Depression, Pain"
547,"indica, hybrid","Pear, Menthol, Vanilla, Blue Cheese, Strawberry, Fruit, Sage, Pungent, Lavender, Ammonia, Honey, Tree, Chemical, Grapefruit, Orange, Pineapple, Tree Fruit, Lemon, Woody, Tar, Peach, Cheese, Tea, Berry, Butter, Flowery","Aroused, Talkative, Focused, Giggly","Paranoid, Dry Mouth, Dry Eyes","Inflammation, Spasticity, Muscle Spasms"
548,"hybrid, sativa","Minty, Tree Fruit, Violet, Mango, Coffee, Tree, Sage, Chestnut, Woody, Mint, Tropical, Spicy/Herbal, Strawberry, Blueberry, Honey, Apple, Pear","Uplifted, Giggly, Focused, Tingly, Relaxed, Talkative, Creative, Hungry, Energetic, Sleepy","Dizzy, Dry Mouth, Dry Eyes","Insomnia, Stress, Seizures, Headache, Pain, Eye Pressure"
549,,"Lavender, Spicy/Herbal, Lime, Chemical, Violet, Grape, Nutty, Ammonia, Rose, Pepper",Aroused,"Anxious, Dry Mouth, Paranoid","Spasticity, Headache"
550,sativa,"Nutty, Sage, Tree, Rose, Apricot, Blue, Fruit, Earthy, Sweet, Diesel, Grapefruit, Tropical, Pepper, Tea, Spicy/Herbal, Chestnut, Blue Cheese, Skunk, Cheese, Orange, Lavender","Creative, Energetic, Giggly, Sleepy, Tingly, Talkative, Relaxed",,"Cramps, Headache, Nausea, Seizures, Inflammation, Stress, Lack of Appetite, Spasticity, Depression, Muscle Spasms"
551,"sativa, indica","Pineapple, Menthol, Chemical, Lime, Tree Fruit, Citrus, Cheese, Pepper, Pear, Apricot, Sage, Blue Cheese, Earthy, Plum, Tobacco, Fruit, Pine, Mango, Grape","Tingly, Happy, Focused, Relaxed, Uplifted, Talkative, Creative, Energetic","Dry Mouth, Paranoid","Eye Pressure, Headaches, Cramps, Seizures, Inflammation, Depression, Pain, Nausea, Insomnia"
552,sativa,"Tree, Pungent, Pineapple, Lime, Earthy, Ammonia, Tropical, Chemical, Diesel, Minty, Grape, Peach, Cheese, Violet, Flowery, Vanilla, Lavender, Grapefruit","Happy, Talkative","Paranoid, Anxious, Dry Mouth, Dizzy","Seizures, Headaches, Stress"
553,,"Cheese, Mint, Blueberry, Citrus, Strawberry, Coffee, Tar, Spicy/Herbal, Chemical, Vanilla, Butter, Diesel, Chestnut, Grapefruit, Tropical, Pineapple, Pine, Orange, Lime, Apple, Lavender, Minty, Pungent, Blue Cheese, Menthol, Tree Fruit, Nutty, Rose","Talkative, Euphoric, Hungry, Uplifted","Anxious, Dry Eyes, Paranoid","Fatigue, Eye Pressure, Headache, Headaches"
554,"hybrid, indica","Pungent, Vanilla, Tar, Grapefruit, Chestnut, Blueberry, Mint, Blue Cheese, Apple, Minty, Tropical, Coffee, Cheese, Blue, Citrus, Berry, Ammonia, Strawberry, Grape, Diesel, Fruit, Lavender, Earthy, Butter, Menthol, Lemon, Sage, Apricot","Sleepy, Relaxed, Tingly, Happy, Focused","Paranoid, Anxious, Dizzy",Insomnia
555,,"Nutty, Skunk, Earthy, Chestnut, Butter, Strawberry, Flowery, Minty, Lavender, Orange, Pungent, Pineapple, Tobacco, Tropical, Sage, Honey, Chemical, Menthol, Apricot, Blueberry, Fruit, Diesel, Tree, Rose, Pine, Mint, Cheese",Talkative,"Dry Eyes, Dizzy","Spasticity, Depression, Lack of Appetite, Cramps, Eye Pressure, Headaches"
556,,"Apricot, Apple","Sleepy, Happy, Energetic, Euphoric, Uplifted, Relaxed, Creative, Focused, Aroused",Paranoid,"Pain, Stress, Fatigue, Spasticity, Depression, Headaches, Muscle Spasms"
557,"hybrid, indica","Mint, Plum, Cheese, Tree","Happy, Focused, Sleepy","Dry Mouth, Anxious, Dizzy","Headaches, Inflammation, Pain, Lack of Appetite, Cramps, Stress, Headache, Muscle Spasms, Depression"
558,,"Tobacco, Woody, Lavender, Pungent, Pear, Diesel, Sweet, Grapefruit, Lime, Cheese, Mango, Mint, Blueberry, Orange, Apple, Tropical, Blue","Uplifted, Euphoric, Sleepy, Tingly, Relaxed, Hungry, Creative, Happy",,"Lack of Appetite, Stress, Seizures"
559,sativa,"Chemical, Strawberry, Sweet, Pear, Pineapple, Skunk, Tea, Coffee, Butter, Pine, Tobacco, Grape, Minty, Pungent, Ammonia, Rose, Citrus, Blue","Aroused, Happy, Hungry, Energetic, Creative, Euphoric, Giggly, Tingly, Talkative",,"Pain, Inflammation, Fatigue, Insomnia, Headache, Eye Pressure, Lack of Appetite, Spasticity"
560,,"Tobacco, Lavender, Diesel, Rose, Grapefruit, Ammonia, Sage, Chestnut, Cheese, Pungent, Blueberry, Lime, Plum, Butter, Strawberry, Pepper, Citrus, Apple, Pineapple, Tar, Mint, Woody, Tree Fruit, Flowery","Creative, Tingly, Relaxed, Aroused, Focused, Sleepy","Dry Mouth, Anxious, Paranoid","Fatigue, Headaches, Spasticity, Seizures, Cramps, Muscle Spasms, Insomnia, Inflammation, Pain"
561,,"Tobacco, Spicy/Herbal, Earthy, Grape, Tree, Chemical, Pungent",,"Paranoid, Anxious, Dry Eyes","Lack of Appetite, Insomnia, Inflammation, Cramps, Stress, Nausea"
562,"hybrid, sativa","Flowery, Honey, Chemical, Menthol, Pineapple, Blueberry, Pine, Lemon, Citrus, Ammonia, Spicy/Herbal, Earthy, Lime, Skunk, Mint, Grape, Cheese, Strawberry, Mango, Plum, Orange, Pepper, Violet, Diesel, Tree Fruit, Lavender, Tea, Vanilla, Grapefruit, Pungent, Tobacco",,"Dry Eyes, Dry Mouth, Anxious","Headaches, Cramps, Muscle Spasms, Fatigue, Headache, Depression, Insomnia, Pain, Lack of Appetite"
563,"sativa, hybrid","Citrus, Grapefruit, Honey","Euphoric, Aroused, Happy, Sleepy, Focused",Anxious,Nausea
564,indica,"Tobacco, Blueberry, Fruit, Ammonia, Orange, Mint, Honey, Tea, Vanilla, Skunk, Berry, Spicy/Herbal, Pine, Apricot, Pepper, Lemon, Coffee, Blue Cheese, Butter, Chestnut, Earthy, Nutty, Pineapple, Tree, Plum, Minty, Menthol, Lavender, Sweet, Mango","Creative, Euphoric, Uplifted","Dry Mouth, Anxious","Fatigue, Stress, Insomnia, Depression, Seizures, Pain"
565,"hybrid, indica","Tree, Chestnut, Tropical, Tar, Apple, Sweet, Sage, Orange, Flowery, Blue, Butter, Pepper, Pear, Blue Cheese, Skunk, Pineapple, Berry, Mint","Sleepy, Euphoric, Creative, Hungry, Talkative, Giggly, Energetic, Aroused","Dry Mouth, Anxious","Depression, Nausea, Cramps, Eye Pressure, Spasticity"
566,"sativa, indica","Menthol, Skunk, Sweet","Tingly, Relaxed, Happy, Hungry, Focused","Dry Mouth, Paranoid","Eye Pressure, Depression, Headache, Stress"
567,"indica, sativa","Diesel, Berry, Chestnut, Mango, Ammonia, Sweet, Tree, Lavender, Fruit, Skunk, Apple, Apricot, Woody, Violet, Pear, Sage, Strawberry, Pepper, Grapefruit, Blue Cheese, Spicy/Herbal, Citrus, Tobacco, Minty, Tea, Coffee",Tingly,,"Fatigue, Inflammation, Spasticity, Depression, Muscle Spasms, Stress, Headaches, Lack of Appetite"
568,"hybrid, indica","Mango, Pine, Earthy","Uplifted, Relaxed, Energetic, Hungry, Euphoric, Sleepy, Aroused, Talkative, Tingly, Giggly",Dizzy,"Cramps, Insomnia"
569,sativa,"Pineapple, Fruit, Chemical, Chestnut, Violet, Flowery, Tropical, Tea, Strawberry, Apple, Plum, Pepper, Sweet, Earthy, Apricot, Butter, Peach, Minty, Lavender, Woody, Honey, Lime, Tobacco, Grape, Ammonia, Orange","Tingly, Relaxed, Creative, Focused, Aroused, Giggly, Uplifted, Sleepy",Dry Eyes,"Lack of Appetite, Spasticity"
570,sativa,"Tropical, Tar, Strawberry, Earthy, Pine, Honey, Grape, Nutty, Chemical, Mint","Talkative, Euphoric, Energetic, Aroused, Relaxed, Sleepy, Uplifted",Dizzy,"Headache, Fatigue"
571,hybrid,"Lavender, Peach, Butter, Orange, Woody, Pungent, Grapefruit","Sleepy, Creative, Focused, Uplifted, Aroused, Hungry","Anxious, Paranoid, Dry Eyes, Dry Mouth","Headaches, Spasticity, Pain, Stress, Inflammation, Cramps, Muscle Spasms"
572,,"Apricot, Mango, Nutty, Honey, Tar, Berry, Tea, Blue, Pineapple, Peach, Citrus, Strawberry, Blue Cheese, Earthy","Focused, Uplifted, Giggly, Euphoric, Tingly","Dry Mouth, Dizzy, Paranoid",
573,,"Pepper, Strawberry, Berry, Chemical, Coffee, Lime, Tobacco, Flowery, Lavender, Blue Cheese, Vanilla, Rose, Tar, Cheese, Tree, Skunk, Spicy/Herbal, Woody, Tropical, Apple, Apricot, Diesel","Creative, Euphoric, Talkative","Dizzy, Dry Mouth, Paranoid","Nausea, Spasticity, Seizures, Pain, Muscle Spasms"
574,"hybrid, sativa","Apple, Apricot, Earthy, Strawberry, Butter, Rose, Pine, Grapefruit, Sweet, Blueberry, Ammonia, Lemon, Plum, Pear, Chestnut, Fruit, Orange, Pungent, Tea, Nutty, Mango, Tar, Spicy/Herbal, Diesel, Woody, Pepper","Relaxed, Happy, Creative, Focused, Aroused, Tingly, Uplifted, Euphoric","Dry Eyes, Paranoid","Eye Pressure, Cramps"
575,"indica, hybrid","Mint, Tea, Chemical, Lemon, Sage, Minty, Apple, Plum, Lime, Menthol, Apricot, Pineapple, Blue Cheese, Tobacco, Diesel, Pine, Orange, Peach, Blue, Flowery, Spicy/Herbal, Tree, Berry, Blueberry, Violet",,"Dizzy, Anxious, Dry Eyes",Lack of Appetite
576,hybrid,"Blueberry, Chestnut, Spicy/Herbal, Mint, Lavender, Tree, Sage, Sweet, Strawberry, Earthy, Nutty, Chemical, Blue Cheese, Fruit, Tropical, Lime, Peach, Tobacco, Rose, Skunk, Plum, Apricot, Tar, Coffee, Flowery, Blue",,"Dry Mouth, Dizzy, Dry Eyes, Anxious",Eye Pressure
577,"sativa, indica, hybrid","Tea, Minty, Vanilla, Spicy/Herbal, Plum, Apple, Mint, Violet, Honey, Skunk, Chemical, Diesel, Earthy, Pine, Grapefruit, Tar, Blueberry, Blue Cheese, Butter, Sweet","Relaxed, Sleepy, Creative, Euphoric, Hungry, Energetic","Dizzy, Dry Eyes, Anxious","Nausea, Headaches, Seizures, Cramps, Pain, Spasticity, Inflammation, Depression, Lack of Appetite, Eye Pressure"
578,hybrid,"Strawberry, Vanilla, Blueberry, Tea, Honey, Flowery, Blue, Nutty, Pineapple, Pear, Cheese, Chestnut, Coffee, Citrus, Apricot, Grape, Pungent, Lavender, Lime","Uplifted, Tingly",Dry Eyes,"Headache, Eye Pressure, Spasticity, Stress, Pain, Muscle Spasms, Insomnia, Lack of Appetite"
579,sativa,"Tree, Blue, Tea, Sage, Coffee, Blue Cheese, Plum, Honey, Peach, Citrus, Lavender, Earthy, Orange, Menthol, Lemon, Diesel, Pineapple, Strawberry, Berry, Sweet, Fruit, Violet, Nutty, Rose, Blueberry, Skunk, Mango, Butter, Apple","Giggly, Energetic, Sleepy","Dizzy, Dry Mouth","Fatigue, Pain, Eye Pressure"
580,"hybrid, sativa","Tree Fruit, Tar, Strawberry, Ammonia, Violet",,"Anxious, Dry Mouth","Stress, Headache, Pain, Spasticity, Seizures"
